Name;Type;Pieces;Location;Style;i1;i2;i3;i4;i5;
Scourge Harvester;Monster;Head/Shoulder;Wayrest Sewers II;;Adds 1064 Maximum Health;When you take damage, you have a 6% chance to create a beam that steals 5805 Health over 4 seconds from the attacker. The beam breaks if the enemy moves further than 8 meters away. While the beam holds gained 30% increased healing from all sources.;;;;
Selene;Monster;Head/Shoulder;Selene's Web;;Adds 967 Maximum Stamina;When you deal direct melee damage, you have a 15% chance call on a primal spirit that mauls the closest enemy in front of you for 12000 Physical Damage. This effect can occur once every 4 seconds.;;;;
Sellistrix;Monster;Head/Shoulder;Arx Corinium;;Adds 967 Maxium Stamina;When you deal damage, you have a 10% chance to create an earthquake under the enemy that erupts after 2 seconds, dealing 3870 Physical Damage to all enemies within 4 meters and stunning them for 3 seconds. This effect can occur once every 5 seconds.;;;;
Sentinel of Rkugamz;Monster;Head/Shoulder;Darkshade Caverns I;;Adds 2% Healing Done;When you heal a friendly target, you have a 10% chance to summon a dwemer spider that heals for 1049 Health and restores 524 Stamina to you and your allies within 5 meters every 1 second for 8 seconds. This effect can occur once every 15 seconds.;;;;
Shadowrend;Monster;Head/Shoulder;Banished Cells I;;Adds 129 Magicka Recovery;When you deal damage, you have a 5% chance to summon a shadowy Clannfear for 15 seconds. The Clannfear's basic attacks deal 3440 Physical Damage and apply Minor Maim to any enemy hit for 3 seconds, reducing their damage done by 15%. This effect can occur once every 15 seconds.;;;;
Slimecraw;Monster;Head/Shoulder;Wayrest Sewers I;;Adds 129 Health Recovery;Gain Minor Berserk at all times, increasing your damage done by 8%.;;;;
Spawn of Mephala;Monster;Head/Shoulder;Fungal Grotto ||;;Adds 1064 Maximum Health;When you deal damage with a fully-charged Heavy attack, you create a web for 10 seconds that deals 1044 Poison Damage every 1 second and reduces the Movement Speed of enemies within by 50%. This effect can occur once every 10 seconds.;;;;
Stormfist;Monster;Head/Shoulder;Tempest Island;;Adds 129 Stamina Recovery;When you deal damage, you have a 10% chance to create a thunderfist to crush the enemy, dealing 1500 Shock Damage every 1 second for 3 seconds to all enemies within 4 meters and a final 8000 Physical Damage when the fist closes. This effect can occur once every 8 seconds.;;;;
Swarm Mother;Monster;Head/Shoulder;Spindleclutch I;;Adds 129 Stamina Recovery;When you block an attack from an enemy that is further than 5 meters from you, you spin strands of spider silk to pull the enemy to you. This effect can occur once every 2 seconds.;;;;
The Troll King;Monster;Head/Shoulder;Blessed Crucible;;Adds 2% Healing Done;When you heal a friendly target, if they are still below 60% Health, their Health Recovery is increased by 1548 for 10 seconds.;;;;
Tremorscale;Monster;Head/Shoulder;Volenfell;;Adds 967 Maximum Stamina;When you taunt an enemy, you have a 50% chance to cause a duneripper to burst from the ground beneath them, dealing 6500 Physical Damage to all enemies within 4 meters and reducing their Movement Speed by 70% for 8 seconds. This effect can occur once every 4 seconds.;;;;
Valkyn Skoria;Monster;Head/Shoulder;City of Ash ||;;Adds 1064 Maximum Health;When you deal damage with a damage over time effect, you have a 8% chance to summon a meteor that deals 9000 Flame Damage to the target and 4000 Flame Damage to all other enemies within 5 meters. This effect can occur once every 5 seconds.;;;;
Velidreth;Monster;Head/Shoulder;Cradle of Shadows;;Adds 129 Weapon Damage;When you deal damage, you have a 20% chance to spawn 3 disease spores in front of you that deal 10320 Disease Damage to the first enemy they hit. This effect can occur once every 9 seconds.;;;;
Armor of the Trainee;Overland Armor Sets;All;Starter Areas;??? (Breton Style);;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 967 Maximum Stamina;Increases your Max Health, Magicka, and Stamina by 2484;
Bahraha's Curse;Overland Armor Sets;Any;Hew's Bane;Outlaw;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Reduces your damage taken from environmental traps by 40%.\nAdds 967 Maximum Stamina;When you deal damage, you have a 25% chance to create desecrated ground for 5 seconds, which reduces the Movement Speed of enemies within by 70%, damages them for 860 Magic Damage every 1 second, and heals you for 100% of the damage done.;
Sithis' Touch;Overland Armor Sets;Any;Gold Coast;Dark Brotherhood;;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 688 Weapon Critical;When you use Blade of Woe, you gain Major Berserk for 20 seconds, increasing your damage done by 25%.;
Syvarra's Scales;Overland Armor Sets;Any;Hew's Bane;Ra Gada;;Adds 1064 Maximum Health;Adds 967 Maximum Stamina;Reduces your damage taken from Guards by 20%.\nAdds 967 Maximum Magicka;When you deal damage, you have a 5% chance to cause a burst of lamia poison that deals 967 Poison Damage in a 5 meter radius and an additional 5802 Poison Damage over 6 seconds to all enemies hit. This effect can occur once every 6.5 seconds.;
Bloodthorn's Touch\n(formerly Adroitness);Overland Armor Sets;Light;Glenumbra;Primal;;Adds 129 Spell Damage;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;When you deal direct damage, you restore 660 Magicka and Stamina. This effect can occur once every 5 seconds.;
Dreamer's Mantle\n(formerly Apprentice Garb);Overland Armor Sets;Light;Stormhaven;Altmer;;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;When you take damage while you are under 35% Health, you knockdown all enemies within 4 meters of you for 2 seconds and heal for 7000 Health. This effect can occur once every 20 seconds.;
Mother's Sorrow;Overland Armor Sets;Light;Deshaan;Argonian;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 688 Spell Critical;Adds 1643 Spell Critical;
Necropotence;Overland Armor Sets;Light;Rivenspire;Argonian;;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;While you have a pet active, your Max Magicka is increased by 4000.;
Prisoner's Rags;Overland Armor Sets;Light;Coldharbour;Soul-Shriven;;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Adds 129 Stamina Recovery;Reduces the cost of Sprint by 50%. While Sprinting, restore 1000 Magicka every 1 second.;
Queen's Elegance\n(formerly Elegance);Overland Armor Sets;Light;Auridon;Altmer;;Adds 129 Spell Damage;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;Increases your Light and Heavy Attack damage by 20%.;
Robes of the Hist\n(formerly Robes of Onslaught);Overland Armor Sets;Light;Shadowfen;Argonian;;Adds 1064 Maximum Health;Adds 129 Spell Damage;Adds 967 Maximum Magicka;Reduces the duration of all disabling effects applied to you by 20%. While you are affected by a disabling effect, heal for 2000 Health every 1 second.;
Robes of the Withered Hand\n(formerly Robes of the Necromancer);Overland Armor Sets;Light;Alik'r;Unused 18;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 1064 Maximum Health;When an enemy within 28 meters of you dies, heal for 1290 Health and gain 1290 Magicka. This effect can occur once every 3 seconds.;
Shadow Dancer's Raiment;Overland Armor Sets;Light;Greenshade;Thieves Guild;;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Ignore the Movement Speed penalty of Sneak.\nAdds 129 Stamina Recovery;
Silks of the Sun;Overland Armor Sets;Light;Stonefalls;Breton;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 400 Spell Damage to your Flame Damage abilities.;
Skooma Smuggler;Overland Armor Sets;Light;Reaper's March;Khajiit;;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;Adds 129 Spell Damage;When you drink a potion, you gain Major Expedition for 30 seconds, increasing your Movement Speed by 30%;
Spinner's Garments;Overland Armor Sets;Light;Malabal Tor;Bosmer;;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 4000 Spell Penetration;
Stendarr's Embrace;Overland Armor Sets;Light;Eastmarch;Bosmer;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;When you heal a friendly target, you have a 50% chance to remove up to 5 negative effects from them. This effect can occur once every 30 seconds per target.;
Syrabane's Grip;Overland Armor Sets;Light;Grahtwood;Altmer;;Adds 129 Magicka Recovery;Adds 129 Spell Damage;Adds 967 Maximum Magicka;When you block a Flame, Frost, Shock, or Magic Damage ability, you restore 860 Magicka. This effect can occur once every 1 second.;
Trinimac's Valor;Overland Armor Sets;Light;Orsinium;Trinimac;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;When you cast a damage shield on an ally, you have a 20% chance to call down a fragment of Trinimac that heals you and your allies for 3667 Health and damages enemies for 3667 Magic Damage in a 5 meter radius. This effect can occur once every 5 seconds.;
Vampire Lord;Overland Armor Sets;Light;Bangkorai;Altmer;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 688 Spell Critical;Adds 400 Spell Damage to your Vampire abilities. Reduces the cost of your Vampire abilities by 5%.;
Way of Martial Knowledge;Overland Armor Sets;Light;Craglorn;Yokudan;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 129 Spell Damage;When you deal damage, you cause the enemy to take 10% additional damage from the next attack. This effect can occur once every 4 seconds.;
Ysgramor's Birthright;Overland Armor Sets;Light;The Rift;Nord;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 400 Spell Damage to your Cold Damage abilities.;
Briarheart;Overland Armor Sets;Medium;Orsinium;Reach Winter;;Adds 688 Weapon Critical;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;When you deal Critical Damage, you have a 10% chance to increase your Weapon Damage by 449 for 10 seconds. While this effect is active your Critical Strikes heal you for 609 Health. This effect can occur once every 15 seconds.;
Shadow of the Red Mountain (formerly Coat of the Red Mountain);Overland Armor Sets;Medium;Stonefalls;Unused 17;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;When you deal damage with a Weapon ability, you have a 10% chance to deal an additional 8400 Flame Damage. This effect can occur once every 2 seconds.;
Darkstride;Overland Armor Sets;Medium;Rivenspire;Thieves Guild;;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Reduces the cost of Sprint and Sneak by 50%.;
Fiord's Legacy (Typo?);Overland Armor Sets;Medium;Eastmarch;Nord;;Adds 129 Weapon Damage;Adds 688 Weapon Critical;Adds 129 Stamina Recovery;Reduces the cost and increases the Movement Speed bonus of Sprint by 15%.;
Flanking Strategist;Overland Armor Sets;Medium;Gold Coast;Order of the Hour;;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;Adds 129 Weapon Damage;Adds 345 Weapon Damage to your damaging abilites when you use them to attack an enemy from behind.;
Hide of the Werewolf;Overland Armor Sets;Medium;Glenumbra;Primal;;Adds 1064 Maximum Health;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;When you take damage, you generate 5 Ultimate. This effect can occur once every 5 seconds.;
Night Terror\n(formerly Nightshade);Overland Armor Sets;Medium;Stormhaven;Daedric;;Adds 967 Maxium Stamina;Reduces the radius you can be detected while Sneaking by 2 meters. Reduces the cost of Sneak by 27%.;Adds 1064 Maximum Health;When you take melee damage, you deal 2100 Poison Damage to the attacker. This effect can occur once every 1 second.;
Ranger's Gait;Overland Armor Sets;Medium;Grahtwood;Bosmer;;Adds 129 Stamina Recovery;Adds 688 Weapon Critical;Adds 967 Maximum Stamina;Reduce the effectiveness of snares applied to you by 50%. Adds 129 Stamina Recovery;
Salvation;Overland Armor Sets;Medium;Malabal Tor;Altmer;;Adds 967 Maximum Stamina;Adds 129 Stamina Recovery;Adds 967 Maximum Stamina;Reduces the cost of your Werewolf Transformation ability 33%. While in Werewolf form, your Weapon Damage is increased by 150.;
Senche's Bite\n(formerly Skirmisher's Bite);Overland Armor Sets;Medium;Reaper's March;Khajiit;;Adds 129 Stamina Recovery;Adds 688 Weapon Critical;Adds 967 Maximum Stamina;When you use Roll Dodge, your Weapon Damage is increased by 430 and Weapon Critical rating is increased by 657 for 5 seconds.;
Spriggan's Thorns;Overland Armor Sets;Medium;Bangkorai;Bosmer;;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Adds 4000 Physical Penetration;
Stygian;Overland Armor Sets;Medium;Coldharbour;Draugr;;Adds 129 Spell Damage;Adds 967 Maximum Stamina;Adds 967 Maximum Magicka;While you are Sneaking or invisible, your Spell Damage and Max Magicka is increased by 20%;
Swamp Raider\n(formerly Toxic Defiance);Overland Armor Sets;Medium;Shadowfen;Argonian;;Adds 688 Weapon Critical;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;When you deal damage with a Magicka ability, your Poison and Disease Damage abilities gain an additional 450 Weapon Damage for 10 seconds.;
Sword-Singer;Overland Armor Sets;Medium;Alik'r;Redguard;;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Adds 688 Weapon Critical;Adds 400 Weapon Damage to your Two Handed abilities.;
Twin Sisters;Overland Armor Sets;Medium;Auridon;??? (Redguard Style);;Adds 129 Stamina Recovery;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;When you block an attack, you have a 20% chance to cause all enemies within 5 meters of you to bleed for 9030 Physical Damage over 8 seconds. This effect can occur once every 8 seconds.;
Way of Air;Overland Armor Sets;Medium;Craglorn;Yokudan;;Adds 129 Stamina Recovery;Adds 129 Stamina Recovery;Increases the radius you can detect Sneaking enemies by 2 meters.;When you use Roll Dodge, your Weapon and Spell Damage is increased by 344 for 6 seconds.;
Wilderqueen's Arch\n(formerly Kyne's Flight);Overland Armor Sets;Medium;Greenshade;Bosmer;;Adds 688 Weapon Critical;Adds 129 Stamina Recovery;Adds 967 Maximum Stamina;Your Bow abilities reduce the Movement Speed of any enemy they hit by 30% for 3 seconds.;
Witchman Armor\n(formerly Shrouded Armor);Overland Armor Sets;Medium;The Rift;Bandit (Breton Style);;Adds 129 Stamina Recovery;Adds 129 Weapon Damage;Adds 1064 Maximum Health;When you use an Ultimate ability, you heal for 6880 Health and restore 6880 Stamina.;
Akaviri Dragonguard;Overland Armor Sets;Heavy;Eastmarch;Nord;;Adds 129 Magicka Recovery;Adds 4% Healing Taken;Adds 1064 Maximum Health;Reduces the cost of your Ultimate abilities by 15%.;
Armor of the Veiled Heritance\n(formerly Armor of Rage);Overland Armor Sets;Heavy;Auridon;Altmer;;Adds 129 Weapon Damage;Adds 1935 Physical Resistance;Adds 688 Weapon Critical;When you deal damage, you have a 10% chance to increase your Weapon Damage by 400 for 5 seconds.;
Beekeeper's Gear;Overland Armor Sets;Heavy;Greenshade;Khajiit;;Adds 1064 Maximum Health;Adds 129 Health Recovery;Adds 129 Health Recovery;Adds 500 Health Recovery;
Draugr's Heritage;Overland Armor Sets;Heavy;The Rift;Draugr;;Adds 4% Healing Taken;Adds 1064 Maximum Health;Adds 1064 Maximum Health;When you take damage while you are under 35% Health, you knockdown all enemies within 4 meters of you for 2 seconds and heal for 7000 Health. This effect can occur once every 20 seconds.;
Green Pact;Overland Armor Sets;Heavy;Grahtwood;Bosmer;;Adds 1064 Maximum Health;Adds 129 Health Recovery;Adds 1064 Maximum Health;While you have a food buff active, your Max Health is increased by 400 and Health Recovery by 200;
Hatchling's Shell\n(formerly Armor of the Construct);Overland Armor Sets;Heavy;Shadowfen;Argonian;;Adds 1935 Physical Resistance;Adds 1935 Spell Resistance;Adds 4% Healing Taken;Gain a damage shield that absorbs 5000 damage every 15 seconds.;
Hide of Morihaus;Overland Armor Sets;Heavy;Gold Coast;Minotaur;;Adds 1064 Maximum Health;Adds 1935 Physical Resistance;Adds 967 Maximum Stamina;When you Roll Dodge through an enemy, you deal 1840 Physical Damage and knock them down for 3 seconds.;
Mark of the Pariah;Overland Armor Sets;Heavy;Orsinium;Trinimac;;Adds 1064 Maximum Health;Adds 1935 Physical Resistance;Adds 1935 Spell Resistance;Increases your Physical and Spell Resistance by up to 11094 based on your missing Health.;
Meridia's Blessed Armor\n(formerly Akatosh's Blessed Armor);Overland Armor Sets;Heavy;Coldharbour;Ancient Elf;;Adds 1935 Physical Resistance;Adds 129 Stamina Recovery;Adds 1935 Spell Resistance;When you block an attack, you have a 33% chance to blind the attacker, causing them to miss all of their attacks for 5 seconds. This effect can occur once every 10 seconds.;
Night Mother's Embrace;Overland Armor Sets;Heavy;Deshaan;Thieves Guild;;Adds 967 Maximum Stamina;Adds 129 Weapon Damage;Adds 129 Stamina Recovery;Reduces the radius you can be detected while Sneaking by 2 meters. Reduces the cost of Sneak by 25%. Adds 129 Weapon Damage;
Order of Diagna;Overland Armor Sets;Heavy;Alik'r;Redguard;;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 4% Healing Taken;Gain Minor Vitality at all times, increasing your healing recieved by 8%;
Plague Doctor;Overland Armor Sets;Heavy;Deshaan;??? (Breton Style);;Adds 1064 Maximum Health;Adds 1064 Maximum Health;Adds 4% Healing Taken;Adds 6000 Maximum Health;
Shalk Exoskeleton;Overland Armor Sets;Heavy;Stonefalls;Bandit (Breton Style);;Adds 1064 Maximum Health;Adds 129 Spell Damage;Adds 688 Spell Critical;Gain Minor Heroism at all times while you are in combat, generating 1 Ultimate every 1.5 seconds.;
Seventh Legion Brute\n(formerly The Brute);Overland Armor Sets;Heavy;Bangkorai;Orc;;Adds 129 Weapon Damage;Adds 129 Health Recovery;Adds 688 Weapon Critical;When you take damage, you have a 10% to gain 500 Weapon Damage for 5 seconds and heal for 1290 Haelth.;
Soulshine;Overland Armor Sets;Heavy;Reaper's March;Khajiit;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 129 Spell Damage;Adds 450 Spell Damage to your cast time and channeled abilities.;
Storm Knight's Plate;Overland Armor Sets;Heavy;Stormhaven;Breton;;Adds 1935 Spell Resistance;Adds 1935 Spell Resistance;Adds 1064 Maximum Health;When you take non-physical damage, you have a 10% to deal 4591 Shock Damage all enemies within 5 meters of you every 2 seconds for 6 seconds. This effect can occur once every 6 seconds.;
Thunderbug's Carapace\n(formerly Thunderous Plate Mail);Overland Armor Sets;Heavy;Malabal Tor;Primal;;Adds 1935 Physical Resistance;Adds 1935 Spell Resistance;Adds 129 Spell Damage;When you take Physical Damage, you have a 50% chance to deal 5418 Shock Damage in a 5 meter radius around you. This effect can occur once every 3 seconds.;
Vampire Cloak;Overland Armor Sets;Heavy;Rivenspire;Breton;;Adds 1064 Maximum Health;Adds 129 Spell Damage;Adds 1064 Maxium Health;Gain Minor Protection at all times, reducing your damage taken by 8%.;
Way of Fire;Overland Armor Sets;Heavy;Craglorn;Yokudan;;Adds 129 Weapon Damage;Adds 967 Maximum Stamina;Adds 688 Weapon Critical;When you deal damage with a Weapon Ability, you have a 20% chance to deal an additional 4200 Flame Damage. This effect can occur once every 2 seconds.;
Wyrd Tree's Blessing\n(formerly Lord's Mail);Overland Armor Sets;Heavy;Glenumbra;Bosmer;;Adds 129 Magicka Recovery;Adds 129 Spell Damage;Adds 129 Magicka Recovery;When you cast a Magicka abiltiy, you remove up to 5 negative effects from yourself. This effect can occur once every 15 seconds.;
Agility;Dungeon;R/N/Wep;Random Daily;Various;;Adds 1451 Maximum Stamina;Adds 193 Weapon Damage;;;
Willpower;Dungeon;R/N/Wep;Random Daily;Various;;Adds 1541 Maximum Magicka;Adds 193 Spell Damage;;;
Endurance;Dungeon;R/N/Wep;Random Daily;Various;;Adds 1596 Maximum Health;Adds 193 Stamina Recovery;;;
Amber Plasm;Dungeon;Light;Ruins of Mazzatun;Grim Harlequin;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 129 Spell Damage;Adds 300 Stamina Recovery\nAdds 300 Magicka Recovery;
Burning Spellweave;Dungeon;Light;City of Ash;Daedric;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 688 Spell Critical;When you deal damage with a Flame Damage ability, you have a 20% chance apply the Burning status effect to the enemy and increase your Spell Damage by 600 for 8 seconds. This effect can occuer once every 12 seconds.;
Combat Physician;Dungeon;Light;Wayrest Sewers;Redguard;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 688 Spell Critical;When you critically heal a friendly target, you grant them a damage shield that absorbs 8195 damage for 6 seconds. This effect can occur once every 6 seconds.;
Gossamer;Dungeon;Light;Cradle of Shadows;Unused 19;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;When you heal a friendly target, you have a 10% chance to grant them Major Evasion for 6 seconds, increasing their dodge chance by 20%.;
Lamia's Song;Dungeon;Light;Arx Corinium;Altmer;;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;When you activate your Ultimate, you heal you and your allies within 20 meters of you for 7500 Health.;
Light Speaker;Dungeon;Light;Elden Hollow;Bosmer;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 400 Spell Damage to your Restoration Staff abilities.;
Magicka Furnace;Dungeon;Light;Direfrost Keep;Dunmer;;Adds 1935 Physical Resistance;Adds 967 Maximum Magicka;Adds 129 Spell Damage;When you take damage from a melee attack while you are under 80% Magicka, restore 8000 Magicka. This effect can occur once every 30 seconds.;
Netch's Touch;Dungeon;Light;Darkshade Caverns;Bandit (Breton Style);;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 400 Spell Damage to your Shock Damage abilities.;
Noble Duelist's Silks;Dungeon;Light;Blessed Crucible;Breton;;Adds 129 Stamina Recovery;Adds 129 Spell Damage;Adds 129 Spell Damage;When you dodge an attack, your Light and Heavy Attacks deal an additional 1225 damage for 8 seconds.;
Overwhelming Surge;Dungeon;Light;Tempest Island;Maormer;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 129 Spell Damage;When you activate a Class ability, you have a 15% chance to surround yourself with a torrent that deals 1986 Shock Damage to the closest enemy within 12 meters of you every 1 second for 6 seconds.;
Prayer Shawl;Dungeon;Light;Spindleclutch;Dunmer;;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 129 Magicka Recovery;When you heal a friendly target, you have a 6% chance to grant them a damage shield that absorbs 2425 damage for 6 seconds.;
Sanctuary;Dungeon;Light;Banished Cells;Orc;;Adds 1062 Maximum Health;Adds 4% Healing Taken;Adds 967 Maximum Magicka;Increases your healing received by 12% for you and your group.;
Scathing Mage;Dungeon;Light;Imperial City Prison;Xivkyn;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 688 Spell Critical;When you deal direct Critical Damage, you have a 20% chance to increase your Spell Damage by 516 for 6 seconds. This effect can occur once every 6 seconds.;
Shroud of the Lich;Dungeon;Light;Crypt of Hearts;Daedric;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;When you fall below 33% Magicka increase your Magicka Recovery by 1032 for 20 seconds. This effect can occuer once every 1 minute.;
Spell Power Cure;Dungeon;Light;White-Gold Tower;Xivkyn;;Adds 967 Maximum Magicka;Adds 967 Maximum Magicka;Adds 129 Spell Damage;When you heal a friendly target that is at 100% Health, you have a 50% chance to increase their Weapon and Spell Damage by 258 for 10 seconds.;
Spider Cultist Cowl;Dungeon;Light;Fungal Grotto;Daedric;;Adds 1064 Maximum Health;Adds 967 Maximum Magicka;Adds 129 Spell Damage;Adds 400 Spell Damage to your Destruction Staff abilities.;
Treasure Hunter;Dungeon;Light;Volenfell;Mercenary;;Adds 967 Maximum Magicka;Adds 688 Spell Critical;Adds 688 Spell Critical;Gain Major Prophecy at all times, increasing your Spell Critical rating by 2191. Adds 100 Spell Damage.;
Undaunted Unweaver;Dungeon;Light;Blackheart Haven;Mercenary;;Adds 967 Maximum Stamina;Adds 967 Maximum Stamina;Adds 688 Spell Critical;When you use an ability that costs Stamina, your Light Attacks deal an additional 774 damage and Heavy Attacks deal an additional 1161 damage for 10 seconds.;
Vestments of the Warlock;Dungeon;Light;Selene's Web;Breton;;Adds 129 Magicka Recovery;Adds 967 Maximum Magicka;Adds 129 Magicka Recovery;When you fall below 33% Magicka, restore 9000 Magicka. This effect can occur once every 1 minute.;
